試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,7,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,838360,An-Ko Lin,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,808993,Chieh-Hsien Chen,5,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,644374,Yu Chang,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,4,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,809006,Nien-Ting Wu,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,6,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,7,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673062,Jarryd Dale,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,6,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,564434,Robbie Perkins,3,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,830725,Shao-Hung Chiang,3,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,808992,Chen-Wei Chen,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,6,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678521,Chris Burke,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,470491,Tim Kennelly,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,8,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,838360,An-Ko Lin,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,808993,Chieh-Hsien Chen,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,644374,Yu Chang,3,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,4,Chinese Taipei,Australia,672552,Jack O'Loughlin,809006,Nien-Ting Wu,5,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
