試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,イベント種別,選手ID,選手,移動前の塁,移動後の塁
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,暴投,470491,Tim Kennelly,1B,2B
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,808982,Jung Hoo Lee,盗塁（二塁）,663330,Jahmai Jones,1B,2B
788115,2026-03-05,Pool C,C,4,Czechia,Korea,628359,Kyung-Eun Noh,693973,Martin Muzik,盗塁（二塁）,803013,Marek Chlup,1B,2B
788115,2026-03-05,Pool C,C,7,Korea,Czechia,807155,Lukas Ercoli,694376,Shay Whitcomb,捕逸,823575,Bo Gyeong Moon,1B,2B
788116,2026-03-06,Pool C,C,4,Czechia,Australia,807650,Coen Wynne,693973,Martin Muzik,盗塁（二塁）,548431,Martin Cervenka,1B,2B
788116,2026-03-06,Pool C,C,9,Australia,Czechia,608042,Marek Minarik,564434,Robbie Perkins,盗塁死（二塁）,674671,Robbie Glendinning,1B,
788139,2026-03-06,Pool A,A,1,Panama,Cuba,661267,Livan Moinelo,676609,José Caballero,盗塁死（三塁）,642707,Allen Córdoba,2B,
788139,2026-03-06,Pool A,A,7,Panama,Cuba,820888,Emmanuel Chapman,677870,Leo Jiménez,盗塁（二塁）,699024,Leo Bernal,1B,2B
788139,2026-03-06,Pool A,A,7,Panama,Cuba,628345,Darien Núñez,542194,Christian Bethancourt,暴投,645308,Jhonny Santos,2B,3B
788110,2026-03-06,Pool D,D,5,Venezuela,Kingdom of the Netherlands,677804,Eric Mendez,661388,William Contreras,暴投,677800,Wilyer Abreu,1B,2B
788129,2026-03-06,Pool B,B,6,Mexico,Great Britain,702465,Ryan Long,672386,Alejandro Kirk,盗塁（二塁）,680776,Jarren Duran,1B,2B
788129,2026-03-06,Pool B,B,9,Mexico,Great Britain,676942,Graham Spraker,677950,Alek Thomas,盗塁（二塁）,693304,Nick Gonzales,1B,2B
788136,2026-03-06,Pool A,A,9,Colombia,Puerto Rico,621242,Edwin Díaz,682679,Dayan Frias,捕逸,622738,Tito Polo,1B,2B
788105,2026-03-06,Pool D,D,2,Dominican Republic,Nicaragua,642574,Ronald Medrano,665487,Fernando Tatis Jr.,盗塁（二塁）,672695,Geraldo Perdomo,1B,2B
788128,2026-03-06,Pool B,B,3,United States,Brazil,828631,Joseph Contreras,608324,Alex Bregman,暴投,656941,Kyle Schwarber,1B,2B
788128,2026-03-06,Pool B,B,3,United States,Brazil,547921,Tiago Da Silva,668930,Brice Turang,盗塁（二塁）,621439,Byron Buxton,1B,2B
788128,2026-03-06,Pool B,B,5,United States,Brazil,682858,Gabriel Barbosa,592450,Aaron Judge,盗塁（三塁）,668930,Brice Turang,2B,3B
