試合ID,イニング,攻撃チーム,得点,安打数,失策,残塁,累積得点,得点差
788120,1,Chinese Taipei,0,0,0,1,0,0
788120,1,Australia,0,1,0,1,0,0
788120,2,Chinese Taipei,0,0,0,0,0,0
788120,2,Australia,0,0,0,0,0,0
788120,3,Chinese Taipei,0,0,0,0,0,0
788120,3,Australia,0,1,0,1,0,0
788120,4,Chinese Taipei,0,1,0,1,0,0
788120,4,Australia,0,0,0,0,0,0
788120,5,Chinese Taipei,0,0,0,0,0,0
788120,5,Australia,2,1,0,1,2,2
788120,6,Chinese Taipei,0,1,0,2,0,-2
788120,6,Australia,0,1,0,3,2,2
788120,7,Chinese Taipei,0,0,0,0,0,-2
788120,7,Australia,1,2,0,1,3,3
788120,8,Chinese Taipei,0,0,0,1,0,-3
788120,8,Australia,0,1,0,1,3,3
788120,9,Chinese Taipei,0,1,0,2,0,-3
788120,9,Australia,0,0,1,0,3,3
788115,1,Czechia,0,1,0,0,0,0
788115,1,Korea,4,2,0,0,4,4
788115,2,Czechia,0,2,0,3,0,-4
788115,2,Korea,1,2,0,2,5,5
788115,3,Czechia,0,1,0,0,0,-5
788115,3,Korea,1,1,0,0,6,6
788115,4,Czechia,0,2,0,2,0,-6
788115,4,Korea,0,0,0,1,6,6
788115,5,Czechia,3,2,0,0,3,-3
788115,5,Korea,2,1,0,1,8,5
788115,6,Czechia,0,0,0,1,3,-5
788115,6,Korea,0,0,0,0,8,5
788115,7,Czechia,0,0,1,0,3,-5
788115,7,Korea,2,2,0,0,10,7
788115,8,Czechia,0,0,0,0,3,-7
788115,8,Korea,1,2,0,1,11,8
788115,9,Czechia,1,1,0,1,4,-7
788115,9,Korea,0,0,0,0,11,7
788116,1,Australia,0,0,0,0,0,0
788116,1,Czechia,0,0,0,0,0,0
788116,2,Australia,0,0,0,0,0,0
788116,2,Czechia,1,1,0,1,1,1
788116,3,Australia,3,2,0,0,3,2
788116,3,Czechia,0,1,0,1,1,-2
788116,4,Australia,0,1,0,1,3,2
788116,4,Czechia,0,1,0,1,1,-2
788116,5,Australia,0,0,0,0,3,2
788116,5,Czechia,0,0,0,0,1,-2
788116,6,Australia,0,1,0,1,3,2
788116,6,Czechia,0,0,0,0,1,-2
788116,7,Australia,0,0,1,0,3,2
788116,7,Czechia,0,1,0,1,1,-2
788116,8,Australia,0,1,0,1,3,2
788116,8,Czechia,0,0,0,0,1,-2
788116,9,Australia,2,4,0,2,5,4
788116,9,Czechia,0,0,0,1,1,-4
788114,1,Japan,0,1,0,2,0,0
788114,1,Chinese Taipei,0,0,0,0,0,0
788114,2,Japan,10,7,0,2,10,10
788114,2,Chinese Taipei,0,0,0,0,0,-10
788114,3,Japan,3,4,1,1,13,13
788114,3,Chinese Taipei,0,0,0,3,0,-13
788114,4,Japan,0,0,0,0,13,13
788114,4,Chinese Taipei,0,0,0,1,0,-13
788114,5,Japan,0,0,0,0,13,13
788114,5,Chinese Taipei,0,0,0,2,0,-13
788114,6,Japan,0,1,0,0,13,13
788114,6,Chinese Taipei,0,1,0,1,0,-13
788114,7,Japan,0,0,0,2,13,13
788114,7,Chinese Taipei,0,0,0,0,0,-13
788139,1,Cuba,0,1,1,1,0,0
788139,1,Panama,0,0,0,1,0,0
788139,2,Cuba,1,1,0,0,1,1
788139,2,Panama,0,0,0,0,0,-1
788139,3,Cuba,2,3,0,1,3,3
788139,3,Panama,0,1,0,1,0,-3
788139,4,Cuba,0,0,0,0,3,3
788139,4,Panama,0,1,0,2,0,-3
788139,5,Cuba,0,0,0,1,3,3
788139,5,Panama,0,0,0,0,0,-3
788139,6,Cuba,0,0,0,0,3,3
788139,6,Panama,0,0,0,0,0,-3
788139,7,Cuba,0,0,0,0,3,3
788139,7,Panama,1,2,0,1,1,-2
788139,8,Cuba,0,0,0,0,3,2
788139,8,Panama,0,1,0,1,1,-2
788139,9,Cuba,0,0,0,0,3,2
788139,9,Panama,0,0,0,0,1,-2
788110,1,Kingdom of the Netherlands,0,1,0,1,0,0
788110,1,Venezuela,1,3,0,2,1,1
788110,2,Kingdom of the Netherlands,1,2,0,2,1,0
788110,2,Venezuela,1,1,0,0,2,1
788110,3,Kingdom of the Netherlands,0,0,0,0,1,-1
788110,3,Venezuela,0,0,0,0,2,1
788110,4,Kingdom of the Netherlands,0,0,1,1,1,-1
788110,4,Venezuela,0,1,0,1,2,1
788110,5,Kingdom of the Netherlands,0,1,0,2,1,-1
788110,5,Venezuela,4,3,0,2,6,5
788110,6,Kingdom of the Netherlands,1,0,0,2,2,-4
788110,6,Venezuela,0,0,0,0,6,4
788110,7,Kingdom of the Netherlands,0,0,0,0,2,-4
788110,7,Venezuela,0,1,0,1,6,4
788110,8,Kingdom of the Netherlands,0,0,0,1,2,-4
788110,8,Venezuela,0,2,0,1,6,4
788110,9,Kingdom of the Netherlands,0,0,0,1,2,-4
788110,9,Venezuela,0,0,0,0,6,4
788129,1,Mexico,0,1,0,1,0,0
788129,1,Great Britain,0,2,0,2,0,0
788129,2,Mexico,1,1,0,0,1,1
788129,2,Great Britain,0,0,0,0,0,-1
788129,3,Mexico,0,0,0,0,1,1
788129,3,Great Britain,0,0,0,0,0,-1
788129,4,Mexico,0,0,0,0,1,1
788129,4,Great Britain,0,0,0,0,0,-1
788129,5,Mexico,0,0,0,0,1,1
788129,5,Great Britain,0,2,0,2,0,-1
788129,6,Mexico,0,0,0,2,1,1
788129,6,Great Britain,1,2,0,2,1,0
788129,7,Mexico,0,0,0,0,1,0
788129,7,Great Britain,0,0,0,0,1,0
788129,8,Mexico,3,1,0,0,4,3
788129,8,Great Britain,0,0,0,2,1,-3
788129,9,Mexico,4,3,0,1,8,7
788129,9,Great Britain,1,2,0,1,2,-6
788136,1,Puerto Rico,0,0,0,0,0,0
788136,1,Colombia,0,0,0,0,0,0
788136,2,Puerto Rico,0,0,0,0,0,0
788136,2,Colombia,0,1,0,2,0,0
788136,3,Puerto Rico,0,0,0,0,0,0
788136,3,Colombia,0,0,0,1,0,0
788136,4,Puerto Rico,0,0,0,0,0,0
788136,4,Colombia,0,2,0,1,0,0
788136,5,Puerto Rico,5,5,0,1,5,5
788136,5,Colombia,0,0,1,2,0,-5
788136,6,Puerto Rico,0,0,0,0,5,5
788136,6,Colombia,0,0,0,1,0,-5
788136,7,Puerto Rico,0,0,0,3,5,5
788136,7,Colombia,0,0,0,0,0,-5
788136,8,Puerto Rico,0,0,0,0,5,5
788136,8,Colombia,0,2,0,3,0,-5
788136,9,Puerto Rico,0,0,0,0,5,5
788136,9,Colombia,0,1,0,1,0,-5
788105,1,Nicaragua,1,2,0,3,1,1
788105,1,Dominican Republic,2,3,0,1,2,1
788105,2,Nicaragua,2,4,1,2,3,1
788105,2,Dominican Republic,0,0,1,2,2,-1
788105,3,Nicaragua,0,0,0,0,3,1
788105,3,Dominican Republic,1,3,0,1,3,0
788105,4,Nicaragua,0,0,0,0,3,0
788105,4,Dominican Republic,0,0,0,0,3,0
788105,5,Nicaragua,0,0,0,0,3,0
788105,5,Dominican Republic,0,0,0,0,3,0
788105,6,Nicaragua,0,1,0,1,3,0
788105,6,Dominican Republic,2,2,0,0,5,2
788105,7,Nicaragua,0,0,0,1,3,-2
788105,7,Dominican Republic,1,1,0,2,6,3
788105,8,Nicaragua,0,0,0,0,3,-3
788105,8,Dominican Republic,6,5,0,2,12,9
788105,9,Nicaragua,0,2,0,2,3,-9
788105,9,Dominican Republic,0,0,0,0,12,9
788128,1,United States,2,3,0,2,2,2
788128,1,Brazil,1,1,0,0,1,-1
788128,2,United States,0,1,0,2,2,1
788128,2,Brazil,0,0,0,0,1,-1
788128,3,United States,1,1,0,2,3,2
788128,3,Brazil,0,0,0,0,1,-2
788128,4,United States,0,0,0,0,3,2
788128,4,Brazil,0,0,0,0,1,-2
788128,5,United States,4,1,0,2,7,6
788128,5,Brazil,0,0,0,0,1,-6
788128,6,United States,0,0,1,2,7,6
788128,6,Brazil,0,1,0,1,1,-6
788128,7,United States,0,0,0,0,7,6
788128,7,Brazil,3,3,0,0,4,-3
788128,8,United States,1,1,0,2,8,4
788128,8,Brazil,1,1,0,0,5,-3
788128,9,United States,7,3,0,1,15,10
788128,9,Brazil,0,0,0,1,5,-10
788117,1,Chinese Taipei,2,3,0,1,2,2
788117,1,Czechia,0,1,1,2,0,-2
788117,2,Chinese Taipei,4,2,0,0,6,6
788117,2,Czechia,0,1,0,1,0,-6
788117,3,Chinese Taipei,0,0,0,1,6,6
788117,3,Czechia,0,0,0,1,0,-6
788117,4,Chinese Taipei,2,1,0,1,8,8
788117,4,Czechia,0,2,0,2,0,-8
788117,5,Chinese Taipei,1,2,0,2,9,9
788117,5,Czechia,0,0,0,0,0,-9
788117,6,Chinese Taipei,5,2,0,1,14,14
788117,6,Czechia,0,0,0,0,0,-14
788117,7,Chinese Taipei,0,1,0,1,14,14
788117,7,Czechia,0,0,0,0,0,-14
788118,1,Korea,3,4,0,1,3,3
788118,1,Japan,2,1,0,0,2,-1
788118,2,Korea,0,0,0,0,3,1
788118,2,Japan,0,0,0,0,2,-1
788118,3,Korea,0,2,0,2,3,1
788118,3,Japan,3,3,0,0,5,2
788118,4,Korea,2,1,0,0,5,0
788118,4,Japan,0,0,0,0,5,0
788118,5,Korea,0,0,0,0,5,0
788118,5,Japan,0,1,0,1,5,0
788118,6,Korea,0,0,0,0,5,0
788118,6,Japan,0,0,0,0,5,0
788118,7,Korea,0,0,0,0,5,0
788118,7,Japan,3,1,0,2,8,3
788118,8,Korea,1,2,0,3,6,-2
788118,8,Japan,0,1,0,1,8,2
788118,9,Korea,0,0,0,0,6,-2
788118,9,Japan,0,0,0,0,8,2
788138,1,Colombia,0,1,0,0,0,0
788138,1,Canada,0,0,0,1,0,0
788138,2,Colombia,0,0,0,0,0,0
788138,2,Canada,2,2,0,0,2,2
788138,3,Colombia,1,3,0,2,1,-1
788138,3,Canada,1,2,0,3,3,2
788138,4,Colombia,0,0,0,1,1,-2
788138,4,Canada,0,0,0,0,3,2
788138,5,Colombia,0,0,0,0,1,-2
788138,5,Canada,0,0,0,0,3,2
788138,6,Colombia,0,1,0,1,1,-2
788138,6,Canada,0,0,0,0,3,2
788138,7,Colombia,0,0,1,0,1,-2
788138,7,Canada,1,1,0,1,4,3
788138,8,Colombia,1,1,1,2,2,-2
788138,8,Canada,4,3,0,3,8,6
788138,9,Colombia,0,0,0,0,2,-6
788138,9,Canada,0,0,1,0,8,6
788108,1,Nicaragua,0,0,0,1,0,0
788108,1,Kingdom of the Netherlands,0,1,0,2,0,0
788108,2,Nicaragua,0,1,0,2,0,0
788108,2,Kingdom of the Netherlands,0,0,0,0,0,0
788108,3,Nicaragua,0,1,0,1,0,0
788108,3,Kingdom of the Netherlands,1,2,1,3,1,1
788108,4,Nicaragua,0,0,0,1,0,-1
788108,4,Kingdom of the Netherlands,0,2,0,1,1,1
788108,5,Nicaragua,1,2,0,3,1,0
788108,5,Kingdom of the Netherlands,0,0,0,0,1,0
788108,6,Nicaragua,0,0,0,1,1,0
788108,6,Kingdom of the Netherlands,0,1,0,3,1,0
788108,7,Nicaragua,0,3,0,3,1,0
788108,7,Kingdom of the Netherlands,0,1,0,1,1,0
788108,8,Nicaragua,2,2,0,1,3,2
788108,8,Kingdom of the Netherlands,0,0,0,0,1,-2
788108,9,Nicaragua,0,0,0,1,3,2
788108,9,Kingdom of the Netherlands,3,3,0,0,4,1
788126,1,Brazil,0,0,0,0,0,0
788126,1,Italy,0,1,0,1,0,0
788126,2,Brazil,0,0,0,0,0,0
788126,2,Italy,0,0,0,0,0,0
788126,3,Brazil,0,1,0,1,0,0
788126,3,Italy,0,1,0,1,0,0
788126,4,Brazil,0,0,0,0,0,0
788126,4,Italy,0,0,0,0,0,0
788126,5,Brazil,0,0,0,0,0,0
788126,5,Italy,0,2,0,2,0,0
788126,6,Brazil,0,0,0,0,0,0
788126,6,Italy,2,2,0,1,2,2
788126,7,Brazil,0,1,0,1,0,-2
788126,7,Italy,4,3,0,2,6,6
788126,8,Brazil,0,1,0,2,0,-6
788126,8,Italy,2,3,0,2,8,8
788126,9,Brazil,0,1,0,1,0,-8
788126,9,Italy,0,0,0,0,8,8
788137,1,Panama,0,0,0,0,0,0
788137,1,Puerto Rico,0,0,0,0,0,0
788137,2,Panama,0,1,0,1,0,0
788137,2,Puerto Rico,0,1,0,0,0,0
788137,3,Panama,0,0,0,0,0,0
788137,3,Puerto Rico,0,1,0,1,0,0
788137,4,Panama,0,0,0,1,0,0
788137,4,Puerto Rico,0,0,0,0,0,0
788137,5,Panama,2,2,0,2,2,2
788137,5,Puerto Rico,0,1,1,1,0,-2
788137,6,Panama,0,1,0,1,2,2
788137,6,Puerto Rico,1,2,0,1,1,-1
788137,7,Panama,0,0,0,1,2,1
788137,7,Puerto Rico,0,2,0,2,1,-1
788137,8,Panama,0,0,0,0,2,1
788137,8,Puerto Rico,0,0,0,1,1,-1
788137,9,Panama,0,0,0,0,2,1
788137,9,Puerto Rico,1,1,0,3,2,0
788137,10,Panama,1,2,0,1,3,1
788137,10,Puerto Rico,2,2,0,0,4,1
788107,1,Israel,0,0,1,0,0,0
788107,1,Venezuela,4,3,0,0,4,4
788107,2,Israel,0,0,0,0,0,-4
788107,2,Venezuela,0,1,0,1,4,4
788107,3,Israel,0,0,1,0,0,-4
788107,3,Venezuela,0,0,0,1,4,4
788107,4,Israel,0,0,0,0,0,-4
788107,4,Venezuela,0,1,0,1,4,4
788107,5,Israel,1,2,0,1,1,-3
788107,5,Venezuela,1,1,0,1,5,4
788107,6,Israel,1,1,0,0,2,-3
