試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球番号,球種,判定,ストライク,ボール,球速（km/h）,ストライク判定,スイング,コンタクト,結果グループ
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,1,直球,ボール,0,1,137.4,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,2,直球,ファール,1,1,139.5,1,1,1,ファール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,3,チェンジアップ,ストライク（空振り）,2,1,130.7,1,1,0,ストライク
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,4,チェンジアップ,ボール,2,2,132.6,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,5,直球,ファール,2,2,139.2,1,1,1,ファール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,6,チェンジアップ,ボール,2,3,133.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,7,チェンジアップ,ストライク（空振り）,3,3,133.6,1,1,0,ストライク
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,838360,An-Ko Lin,1,スライダー,ボール,0,1,133.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,838360,An-Ko Lin,2,スライダー,ストライク（見逃し）,1,1,131.8,1,0,0,ストライク
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,838360,An-Ko Lin,3,直球,インプレー,1,1,140.7,1,1,1,インプレー
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,808993,Chieh-Hsien Chen,1,スライダー,ボール,0,1,134.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,808993,Chieh-Hsien Chen,2,直球,ボール,0,2,140.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,808993,Chieh-Hsien Chen,3,スライダー,ボール,0,3,134.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,808993,Chieh-Hsien Chen,4,スライダー,ストライク（見逃し）,1,3,131.8,1,0,0,ストライク
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,808993,Chieh-Hsien Chen,5,直球,ボール,1,4,140.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,644374,Yu Chang,1,チェンジアップ,ボール,0,1,130.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Chinese Taipei,Australia,649144,Alex Wells,644374,Yu Chang,2,直球,インプレー,0,1,140.8,1,1,1,インプレー
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,1,直球,ボール,0,1,151.0,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,2,直球,ストライク（空振り）,1,1,151.1,1,1,0,ストライク
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,3,直球,ボール,1,2,153.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,683953,Travis Bazzana,4,カーブ,インプレー,1,2,125.9,1,1,1,インプレー
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,1,直球,ストライク（空振り）,1,0,152.1,1,1,0,ストライク
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,2,直球,ファール,2,0,153.5,1,1,1,ファール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,3,チェンジアップ,ボール,2,1,133.6,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678554,Curtis Mead,4,直球,死球,2,1,153.0,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,1,直球,ストライク（見逃し）,1,0,150.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,2,スライダー,ボール,1,1,133.7,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,3,カットボール,ファール,2,1,140.5,1,1,1,ファール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,4,チェンジアップ,インプレー,2,1,129.9,1,1,1,インプレー
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,1,チェンジアップ,ボール,0,1,132.1,0,0,0,ボール
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,2,チェンジアップ,ストライク（見逃し）,1,1,133.4,1,0,0,ストライク
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,3,チェンジアップ,ストライク（空振り）,2,1,133.9,1,1,0,ストライク
788120,2026-03-05,Pool C,C,1,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,4,チェンジアップ,ストライク（空振り）,3,1,136.0,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,809006,Nien-Ting Wu,1,カーブ,ストライク（見逃し）,1,0,114.1,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,809006,Nien-Ting Wu,2,スライダー,ストライク（見逃し）,2,0,130.7,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,809006,Nien-Ting Wu,3,直球,インプレー,2,0,137.4,1,1,1,インプレー
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,1,直球,ボール,0,1,140.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,2,チェンジアップ,ストライク（見逃し）,1,1,132.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,3,チェンジアップ,ストライク（空振り）,2,1,132.8,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,4,チェンジアップ,ボール,2,2,133.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,5,直球,ボール,2,3,141.0,0,0,0,ボール
