試合ID,日付,ラウンド,プール,守備チーム,投手ID,投手,投球回,投球回（小数）,自責点,失点,被安打,奪三振,与四球,被本塁打,対戦打者数,投球数
788120,2026-03-05,Pool C,C,Chinese Taipei,830717,Jo-Hsi Hsu,4.0,4.0,0,0,2,3,0,0,14,53
788120,2026-03-05,Pool C,C,Chinese Taipei,696040,Po-Yu Chen,1.0,1.0,2,2,1,2,1,1,6,22
788120,2026-03-05,Pool C,C,Chinese Taipei,806844,Yi-Lei Sun,0.2,0.6666666666666666,0,0,1,1,2,0,5,26
788120,2026-03-05,Pool C,C,Chinese Taipei,838359,Yi Chang,1.1,1.3333333333333333,1,1,2,0,0,1,6,20
788120,2026-03-05,Pool C,C,Chinese Taipei,838361,Shih-Hsiang Lin,1.0,1.0,0,0,1,0,0,0,4,14
788120,2026-03-05,Pool C,C,Australia,649144,Alex Wells,3.0,3.0,0,0,0,6,1,0,10,46
788120,2026-03-05,Pool C,C,Australia,672552,Jack O'Loughlin,3.0,3.0,0,0,2,2,0,0,12,44
788120,2026-03-05,Pool C,C,Australia,626943,Jon Kennedy,3.0,3.0,0,0,1,1,1,0,12,41
788115,2026-03-05,Pool C,C,Czechia,804607,Daniel Padysak,0.1,0.3333333333333333,4,4,2,0,2,1,5,18
788115,2026-03-05,Pool C,C,Czechia,808951,Jeff Barto,2.2,2.6666666666666665,2,2,3,1,1,1,12,41
788115,2026-03-05,Pool C,C,Czechia,807156,Michal Kovala,2.0,2.0,2,2,1,4,2,1,10,46
788115,2026-03-05,Pool C,C,Czechia,626416,Jan Novak,1.0,1.0,0,0,0,0,0,0,3,8
788115,2026-03-05,Pool C,C,Czechia,807155,Lukas Ercoli,1.2,1.6666666666666665,1,2,2,0,0,0,7,25
788115,2026-03-05,Pool C,C,Czechia,693978,Lukas Hlouch,0.1,0.3333333333333333,1,1,2,1,0,1,3,11
788115,2026-03-05,Pool C,C,Korea,808984,Hyeong Jun So,3.0,3.0,0,0,4,2,1,0,12,42
