選手ID,選手名,WBCチーム,ポジション,背番号,生年月日,年齢,身長（cm）,体重（kg）,打席,投球腕,出身国,MLBチーム,MLB初出場年,MLB経験年数
624407,Tzu-Wei Lin,Chinese Taipei,2B,15,1994-02-15,32,175,82,L,R,Taiwan,Long Island Ducks,2017,9
839138,Cheng-Yu Chang,Chinese Taipei,PH,9,2000-06-08,25,178,70,L,R,Taiwan,,,
808993,Chieh-Hsien Chen,Chinese Taipei,RF,24,1994-01-07,32,173,78,L,R,Taiwan,,,
809004,Jyun-Yue Tseng,Chinese Taipei,P,60,2001-11-07,24,173,68,R,R,Taiwan,,,
808992,Chen-Wei Chen,Chinese Taipei,LF,98,1997-12-12,28,180,72,L,R,Taiwan,,,
666020,Kai-Wei Lin,Chinese Taipei,P,0,1996-03-19,30,178,79,R,R,Taiwan,Long Island Ducks,,
809223,Tzu-Chen Sha,Chinese Taipei,P,92,2003-10-15,22,188,75,R,R,Taiwan,Lansing Lugnuts,,
830723,Cheng-Hui Sung,Chinese Taipei,RF,88,2002-08-14,23,183,78,R,R,Taiwan,,,
644374,Yu Chang,Chinese Taipei,3B,18,1995-08-18,30,185,95,R,R,Taiwan,Durham Bulls,2019,7
644375,Kungkuan Giljegiljaw,Chinese Taipei,PH,4,1994-03-13,32,180,100,R,R,Taiwan,Columbus Clippers,,
830716,Ruei-Yang Gu Lin,Chinese Taipei,P,11,2000-06-12,25,185,81,R,R,Taiwan,,,
830717,Jo-Hsi Hsu,Chinese Taipei,P,00,2000-11-01,25,175,76,R,R,Taiwan,,,
629496,Chih-Wei Hu,Chinese Taipei,P,58,1993-11-04,32,183,110,R,R,Taiwan,El Paso Chihuahuas,2017,9
827734,Wei-En Lin,Chinese Taipei,P,42,2005-11-04,20,188,81,L,L,Taiwan,Midland RockHounds,,
675085,Jonathon Long,Chinese Taipei,1B,22,2002-01-20,24,183,95,R,R,USA,Iowa Cubs,,
838362,Jun-Wei Zhang,Chinese Taipei,P,37,2005-11-14,20,178,82,R,R,Taiwan,,,
808997,Kun-Yu Chiang,Chinese Taipei,SS,90,2000-07-04,25,173,72,R,R,Taiwan,,,
838361,Shih-Hsiang Lin,Chinese Taipei,P,12,2001-07-31,24,180,83,L,R,Taiwan,,,
670076,Lyle Lin,Chinese Taipei,C,27,1997-06-26,28,183,91,R,R,Taiwan,Midland RockHounds,,
809006,Nien-Ting Wu,Chinese Taipei,1B,39,1993-06-07,32,178,75,L,R,Taiwan,,,
800018,Chen Zhong-Ao Zhuang,Chinese Taipei,P,48,2000-08-25,25,185,90,R,R,Taiwan,Las Vegas Aviators,,
838360,An-Ko Lin,Chinese Taipei,DH,77,1997-05-19,28,183,90,L,L,Taiwan,,,
838359,Yi Chang,Chinese Taipei,P,19,1994-02-26,32,183,84,R,R,Taiwan,,,
696040,Po-Yu Chen,Chinese Taipei,P,44,2001-10-02,24,185,91,L,R,Taiwan,Altoona Curve,,
691907,Tsung-Che Cheng,Chinese Taipei,SS,1,2001-07-26,24,173,82,L,R,Taiwan,Worcester Red Sox,2025,1
830725,Shao-Hung Chiang,Chinese Taipei,C,63,1997-07-13,28,180,100,R,R,Taiwan,,,
611563,Kuan-Yu Chen,Chinese Taipei,P,20,1990-10-29,35,175,85,L,L,Taiwan,,,
692059,Hao-Chun Cheng,Chinese Taipei,P,47,1997-09-17,28,190,93,R,R,Taiwan,ACL Dodgers,,
656413,Stuart Fairchild,Chinese Taipei,CF,17,1996-03-17,30,180,93,R,R,USA,Columbus Clippers,2021,5
801179,Yu-Min Lin,Chinese Taipei,P,45,2003-07-12,22,180,73,L,L,Taiwan,Reno Aces,,
806844,Yi-Lei Sun,Chinese Taipei,P,96,2005-02-10,21,183,82,L,R,Taiwan,International Team (18U),,
564434,Robbie Perkins,Australia,C,9,1994-05-29,31,190,90,R,R,Australia,Brisbane Bandits,,
626943,Jon Kennedy,Australia,P,55,1994-09-20,31,203,111,L,L,Australia,Brisbane Bandits,,
816332,Kieren Hall,Australia,P,46,2001-05-10,24,183,88,R,R,Australia,Perth Heat,,
627697,Sam Holland,Australia,P,40,1994-02-20,32,193,91,R,R,Australia,Brisbane Bandits,,
649143,Lachlan Wells,Australia,P,19,1997-02-27,29,185,84,L,L,Australia,Adelaide Giants,,
649144,Alex Wells,Australia,P,8,1997-02-27,29,185,88,L,L,Australia,Sydney Blue Sox,2021,5
573667,Todd Van Steensel,Australia,P,21,1991-01-14,35,185,104,R,R,Australia,Adelaide Giants,,
470491,Tim Kennelly,Australia,RF,23,1986-12-05,39,183,82,R,R,Australia,Perth Heat,,
681973,Josh Hendrickson,Australia,P,44,1997-09-18,28,193,98,L,L,Australia,Adelaide Giants,,
683953,Travis Bazzana,Australia,2B,64,2002-08-28,23,180,90,L,R,Australia,Columbus Clippers,,
828589,Max Durrington,Australia,OF,36,2007-02-13,19,175,75,L,R,Australia,Stockton Ports,,
692707,Cooper Morgan,Australia,P,65,2001-11-08,24,0,,L,L,Australia,Adelaide Giants,,
673064,Alex Hall,Australia,DH,10,1999-06-08,26,178,93,S,R,Australia,Perth Heat,,
666838,George Callil,Australia,SS,28,1997-07-22,28,193,91,R,R,Australia,Brisbane Bandits,,
673062,Jarryd Dale,Australia,SS,43,2000-09-11,25,188,91,R,R,Australia,Melbourne Aces,,
674671,Robbie Glendinning,Australia,3B,6,1995-10-06,30,183,89,R,R,Australia,Adelaide Giants,,
599683,Warwick Saupold,Australia,P,30,1990-01-16,36,188,101,R,R,Australia,Perth Heat,2016,10
672531,Ulrich Bojarski,Australia,RF,25,1998-09-15,27,190,100,R,R,South Africa,Perth Heat,,
678554,Curtis Mead,Australia,3B,16,2000-10-26,25,185,102,R,R,Australia,Washington Nationals,2023,3
672552,Jack O'Loughlin,Australia,P,37,2000-03-14,26,196,101,L,L,Australia,Adelaide Giants,2024,2
678534,Rixon Wingrove,Australia,1B,52,2000-05-23,25,193,118,L,R,Australia,Brisbane Bandits,,
807650,Coen Wynne,Australia,P,38,1999-01-25,27,193,86,R,R,Australia,Sydney Blue Sox,,
623921,Logan Wade,Australia,2B,4,1991-11-13,34,185,86,S,R,Australia,Brisbane Bandits,,
628015,Connor MacDonald,Australia,P,39,1996-02-27,30,196,91,R,R,Australia,Brisbane Bandits,,
664334,Aaron Whitefield,Australia,CF,2,1996-09-02,29,193,95,R,R,Australia,Melbourne Aces,2020,6
666748,Mitch Neunborn,Australia,P,22,1997-06-27,28,183,86,R,R,South Africa,Reading Fightin Phils,,
673134,Mitchell Edwards,Australia,C,1,1999-08-01,26,180,91,S,R,Australia,Adelaide Giants,,
673132,Ky Hampton,Australia,P,26,2000-10-04,25,185,70,R,R,Australia,Adelaide Giants,,
678521,Chris Burke,Australia,LF,34,2001-08-16,24,178,82,L,R,Australia,Melbourne Aces,,
678620,Blake Townsend,Australia,P,54,2001-04-05,24,193,111,L,L,Australia,Frisco RoughRiders,,
807163,Marek Krejcirik,Czechia,PR,97,2001-06-27,24,175,75,L,R,Czechia,,,
838347,Ondrej Vank,Czechia,P,23,2005-04-25,20,185,87,R,R,Czechia,,,
693980,Martin Zelenka,Czechia,C,38,2000-12-20,25,190,111,R,R,Czechia,,,
831793,Filip Kollmann,Czechia,P,26,2005-06-22,20,185,66,L,R,Czechia,,,
687781,Vojtech Mensik,Czechia,2B,77,1998-05-24,27,183,83,R,R,Czechia,Inland Empire 66ers,,
838345,Tomas Ondra,Czechia,P,57,1996-03-20,30,193,90,L,R,Czechia,,,
608042,Marek Minarik,Czechia,P,15,1993-06-28,32,203,106,R,R,Czechia,Bristol Pirates,,
626423,Martin Schneider,Czechia,P,13,1986-03-04,40,188,85,R,R,Czechoslovakia,,,
807160,Milan Prokop,Czechia,DH,56,2003-02-12,23,183,88,R,R,Czechia,,,
831799,Michal Sindelka,Czechia,OF,11,2005-11-04,20,188,98,R,R,Czechia,,,
548431,Martin Cervenka,Czechia,C,55,1992-08-03,33,193,102,R,R,Czechoslovakia,Toros del Este,,
807828,Boris Vecerka,Czechia,P,54,2003-08-22,22,190,93,R,R,Czechia,Visalia Rawhide,,
679925,William Escala,Czechia,LF,5,1998-12-11,27,180,82,S,R,USA,,,
808951,Jeff Barto,Czechia,P,19,1989-09-15,36,183,86,L,L,USA,,,
693978,Lukas Hlouch,Czechia,P,88,2000-12-12,25,193,98,R,R,Czechia,,,
693975,Martin Cervinka,Czechia,3B,78,1997-03-03,29,193,88,R,R,Czechia,,,
693973,Martin Muzik,Czechia,1B,49,1996-04-23,29,180,90,R,R,Czechia,,,
693974,Ondrej Satoria,Czechia,P,35,1997-02-26,29,175,76,R,R,Czechia,,,
693972,Filip Capka,Czechia,P,14,1998-11-04,27,188,92,R,R,Czechia,,,
807156,Michal Kovala,Czechia,P,3,2003-12-28,22,183,83,L,R,Czechia,,,
